Source: Office for National Statistics (ONS),,,,,,,,,,,,,,,,
Year and dataset code row,Month,Current price indices: Solid fuels,Current price indices: Gas ,Current price indices: Electricity ,Current price indices: Liquid fuels,"Current price indices: Domestic fuels
[Note 1]","Current price indices: Motor fuel & oil
[Note 2]","Current price indices: All Items CPI 2010=100
[Note 3]",Real price indices: Solid fuels,Real price indices: Gas ,Real price indices: Electricity ,Real price indices: Liquid fuels,"Real price indices: Domestic fuels
[Note 1]","Real price indices: Motor fuel & oil
[Note 2]","Real price indices: All Items CPI 2010=100
[Note 3]",GDP Deflator     2010=100
Dataset identifier code,,D7DW,D7DU,D7DT,D7DV,D7CH,D7EC,D7BT,,,,,,,,
1996,January,45.4,43.3,62.5,33.2,51.6,48,75.8,61.2,58.4,84.3,44.8,69.6,64.7,102.3,74.15
1996,February,45.4,43.3,62.5,32.9,51.6,46.7,76.2,61.2,58.4,84.3,44.3,69.6,62.9,102.7,74.15
1996,March,45.4,43.3,62.5,33.9,51.6,46.4,76.5,61.2,58.4,84.3,45.7,69.6,62.5,103.2,74.15
1996,April,45.4,43.3,62.5,34.9,51.7,47,76.8,60.2,57.4,82.8,46.3,68.6,62.4,101.9,75.44
1996,May,44,43.3,62.6,32.8,51.6,47,77.1,58.4,57.4,83,43.5,68.4,62.4,102.2,75.44
1996,June,43.8,43.3,62.9,32.1,51.7,46.8,77.2,58.1,57.4,83.3,42.6,68.6,62,102.3,75.44
1996,July,43.9,43.3,63,32.6,51.7,46.6,76.7,57.8,56.9,82.9,42.9,68,61.3,100.9,76.02
1996,August,43.9,43.3,62.7,32.9,51.6,47.5,77.1,57.8,56.9,82.5,43.2,67.9,62.5,101.4,76.02
1996,September,44.8,43.3,62.4,37.4,51.7,49.2,77.5,59,56.9,82,49.3,68,64.8,102,76.02
1996,October,45.7,43.3,61.7,40.7,51.6,50,77.5,60.1,56.8,81.1,53.5,67.8,65.7,101.8,76.14
1996,November,46.1,43.3,61.3,36.5,51.3,50.5,77.5,60.5,56.8,80.6,48,67.4,66.3,101.8,76.14
1996,December,46.1,43.3,61.1,38.3,51.3,52.2,77.7,60.5,56.8,80.2,50.4,67.4,68.6,102.1,76.14
1997,January,46.2,43.3,60.4,38.5,51,51.8,77.4,61.7,57.8,80.7,51.4,68.1,69.2,103.4,74.85
1997,February,46.2,43.3,60.7,36.1,51.1,51.6,77.6,61.7,57.8,81.1,48.2,68.3,69,103.7,74.85
1997,March,46.1,43.3,60.9,33,51.1,51.1,77.7,61.6,57.8,81.4,44,68.3,68.3,103.9,74.85
1997,April,46,43.1,60.8,31.3,51,50.9,78.1,61.6,57.8,81.5,42,68.3,68.2,104.6,74.62
